Benchmark                  (directed)  (vertices)   Mode  Cnt      Score      Error   Units
EdgeMethods.adjacentEdges        true           2  thrpt   25  51944.175 ±  279.037  ops/ms
EdgeMethods.adjacentEdges        true          10  thrpt   25  50924.058 ± 1453.709  ops/ms
EdgeMethods.adjacentEdges        true          20  thrpt   25  49582.261 ± 2379.902  ops/ms
EdgeMethods.adjacentEdges        true          30  thrpt   25  50215.444 ± 1934.247  ops/ms
EdgeMethods.adjacentEdges        true          40  thrpt   25  51660.064 ±  554.577  ops/ms
EdgeMethods.adjacentEdges        true          50  thrpt   25  51412.058 ± 1026.367  ops/ms
EdgeMethods.adjacentEdges        true          60  thrpt   25  51487.455 ±  569.124  ops/ms
EdgeMethods.adjacentEdges        true          70  thrpt   25  51267.074 ±  637.834  ops/ms
EdgeMethods.adjacentEdges        true          80  thrpt   25  52130.956 ±  196.898  ops/ms
EdgeMethods.adjacentEdges        true          90  thrpt   25  52073.871 ±  304.940  ops/ms
EdgeMethods.adjacentEdges        true         100  thrpt   25  50427.315 ± 1083.127  ops/ms
EdgeMethods.adjacentEdges       false           2  thrpt   25  51718.274 ±  449.945  ops/ms
EdgeMethods.adjacentEdges       false          10  thrpt   25  52063.288 ±  419.854  ops/ms
EdgeMethods.adjacentEdges       false          20  thrpt   25  51286.450 ±  770.834  ops/ms
EdgeMethods.adjacentEdges       false          30  thrpt   25  51021.485 ± 1117.317  ops/ms
EdgeMethods.adjacentEdges       false          40  thrpt   25  51222.881 ±  561.327  ops/ms
EdgeMethods.adjacentEdges       false          50  thrpt   25  51337.309 ±  790.307  ops/ms
EdgeMethods.adjacentEdges       false          60  thrpt   25  51368.457 ± 1127.773  ops/ms
EdgeMethods.adjacentEdges       false          70  thrpt   25  51874.284 ±  401.596  ops/ms
EdgeMethods.adjacentEdges       false          80  thrpt   25  51816.530 ±  281.844  ops/ms
EdgeMethods.adjacentEdges       false          90  thrpt   25  51394.741 ±  448.140  ops/ms
EdgeMethods.adjacentEdges       false         100  thrpt   25  51186.836 ±  823.548  ops/ms
EdgeMethods.findFirstEdge        true           2  thrpt   25  57980.913 ± 1009.732  ops/ms
EdgeMethods.findFirstEdge        true          10  thrpt   25  49963.086 ± 3083.370  ops/ms
EdgeMethods.findFirstEdge        true          20  thrpt   25  40459.331 ±  203.611  ops/ms
EdgeMethods.findFirstEdge        true          30  thrpt   25  40177.053 ±  428.341  ops/ms
EdgeMethods.findFirstEdge        true          40  thrpt   25  35097.348 ± 5716.278  ops/ms
EdgeMethods.findFirstEdge        true          50  thrpt   25  30368.759 ± 2751.802  ops/ms
EdgeMethods.findFirstEdge        true          60  thrpt   25  31428.272 ± 2041.926  ops/ms
EdgeMethods.findFirstEdge        true          70  thrpt   25  27287.901 ± 2434.221  ops/ms
EdgeMethods.findFirstEdge        true          80  thrpt   25  32765.517 ±  253.047  ops/ms
EdgeMethods.findFirstEdge        true          90  thrpt   25  25751.397 ±  174.056  ops/ms
EdgeMethods.findFirstEdge        true         100  thrpt   25  45627.565 ± 8152.962  ops/ms
EdgeMethods.findFirstEdge       false           2  thrpt   25  57901.235 ± 1428.114  ops/ms
EdgeMethods.findFirstEdge       false          10  thrpt   25  56956.177 ± 1208.706  ops/ms
EdgeMethods.findFirstEdge       false          20  thrpt   25  47383.692 ±  548.006  ops/ms
EdgeMethods.findFirstEdge       false          30  thrpt   25  40931.894 ±  240.604  ops/ms
EdgeMethods.findFirstEdge       false          40  thrpt   25  32326.868 ± 3508.361  ops/ms
EdgeMethods.findFirstEdge       false          50  thrpt   25  30998.460 ± 4399.191  ops/ms
EdgeMethods.findFirstEdge       false          60  thrpt   25  27276.400 ±  834.868  ops/ms
EdgeMethods.findFirstEdge       false          70  thrpt   25  26472.183 ± 2626.367  ops/ms
EdgeMethods.findFirstEdge       false          80  thrpt   25  24897.893 ±  477.215  ops/ms
EdgeMethods.findFirstEdge       false          90  thrpt   25  26722.973 ±  701.529  ops/ms
EdgeMethods.findFirstEdge       false         100  thrpt   25  26178.139 ±  770.388  ops/ms
EdgeMethods.findLastEdge         true           2  thrpt   25  51545.311 ±  544.078  ops/ms
EdgeMethods.findLastEdge         true          10  thrpt   25  46325.258 ± 2998.912  ops/ms
EdgeMethods.findLastEdge         true          20  thrpt   25  38850.175 ±  641.167  ops/ms
EdgeMethods.findLastEdge         true          30  thrpt   25  38794.603 ±  588.388  ops/ms
EdgeMethods.findLastEdge         true          40  thrpt   25  28799.358 ± 4504.485  ops/ms
EdgeMethods.findLastEdge         true          50  thrpt   25  34064.431 ± 4147.010  ops/ms
