Benchmark                  (directed)  (vertices)   Mode  Cnt      Score     Error   Units
EdgeMethods.adjaentEdges         true           2  thrpt    5   5477.348 ±  68.284  ops/ms
EdgeMethods.adjaentEdges         true           3  thrpt    5   3532.557 ±  84.296  ops/ms
EdgeMethods.adjaentEdges         true           4  thrpt    5   2744.170 ±  63.273  ops/ms
EdgeMethods.adjaentEdges         true           5  thrpt    5   2161.079 ±  32.360  ops/ms
EdgeMethods.adjaentEdges         true           6  thrpt    5   1801.500 ±  31.607  ops/ms
EdgeMethods.adjaentEdges         true           7  thrpt    5   1331.257 ±  10.823  ops/ms
EdgeMethods.adjaentEdges         true           8  thrpt    5   1140.976 ±   8.643  ops/ms
EdgeMethods.adjaentEdges        false           2  thrpt    5   7750.291 ± 107.933  ops/ms
EdgeMethods.adjaentEdges        false           3  thrpt    5   7077.066 ± 174.183  ops/ms
EdgeMethods.adjaentEdges        false           4  thrpt    5   6944.792 ±  82.420  ops/ms
EdgeMethods.adjaentEdges        false           5  thrpt    5   6416.282 ±  93.451  ops/ms
EdgeMethods.adjaentEdges        false           6  thrpt    5   6254.867 ± 126.238  ops/ms
EdgeMethods.adjaentEdges        false           7  thrpt    5   6069.334 ± 138.462  ops/ms
EdgeMethods.adjaentEdges        false           8  thrpt    5   5541.626 ± 125.081  ops/ms
EdgeMethods.findFirstEdge        true           2  thrpt    5  14119.828 ± 233.721  ops/ms
EdgeMethods.findFirstEdge        true           3  thrpt    5  14063.241 ± 212.243  ops/ms
EdgeMethods.findFirstEdge        true           4  thrpt    5  13487.923 ± 233.308  ops/ms
EdgeMethods.findFirstEdge        true           5  thrpt    5  14156.843 ±  98.106  ops/ms
EdgeMethods.findFirstEdge        true           6  thrpt    5  13845.371 ± 240.804  ops/ms
EdgeMethods.findFirstEdge        true           7  thrpt    5  13886.189 ± 154.892  ops/ms
EdgeMethods.findFirstEdge        true           8  thrpt    5  13927.045 ±  71.844  ops/ms
EdgeMethods.findFirstEdge       false           2  thrpt    5  13696.008 ± 160.124  ops/ms
EdgeMethods.findFirstEdge       false           3  thrpt    5  13998.718 ± 281.568  ops/ms
EdgeMethods.findFirstEdge       false           4  thrpt    5  13569.026 ± 334.855  ops/ms
EdgeMethods.findFirstEdge       false           5  thrpt    5  14013.260 ± 187.338  ops/ms
EdgeMethods.findFirstEdge       false           6  thrpt    5  14188.386 ± 379.140  ops/ms
EdgeMethods.findFirstEdge       false           7  thrpt    5  13755.222 ± 112.909  ops/ms
EdgeMethods.findFirstEdge       false           8  thrpt    5  13573.648 ± 214.412  ops/ms
EdgeMethods.findLastEdge         true           2  thrpt    5   8932.800 ± 240.573  ops/ms
