Benchmark                  (directed)  (vertices)   Mode  Cnt      Score     Error   Units
EdgeMethods.adjaentEdges         true           2  thrpt   25   5514.365 ± 346.399  ops/ms
EdgeMethods.adjaentEdges         true          10  thrpt   25    750.367 ±  25.793  ops/ms
EdgeMethods.adjaentEdges         true          20  thrpt   25    226.555 ±   2.502  ops/ms
EdgeMethods.adjaentEdges         true          30  thrpt   25    103.193 ±   1.439  ops/ms
EdgeMethods.adjaentEdges         true          40  thrpt   25     58.717 ±   0.704  ops/ms
EdgeMethods.adjaentEdges         true          50  thrpt   25     37.543 ±   0.404  ops/ms
EdgeMethods.adjaentEdges         true          60  thrpt   25     26.931 ±   0.243  ops/ms
EdgeMethods.adjaentEdges         true          70  thrpt   25     20.526 ±   0.330  ops/ms
EdgeMethods.adjaentEdges         true          80  thrpt   25     16.016 ±   0.194  ops/ms
EdgeMethods.adjaentEdges         true          90  thrpt   25     12.694 ±   0.097  ops/ms
EdgeMethods.adjaentEdges         true         100  thrpt   25     10.139 ±   0.076  ops/ms
EdgeMethods.adjaentEdges        false           2  thrpt   25   7814.399 ± 241.348  ops/ms
EdgeMethods.adjaentEdges        false          10  thrpt   25   5376.345 ± 113.025  ops/ms
EdgeMethods.adjaentEdges        false          20  thrpt   25   3802.173 ±  54.830  ops/ms
EdgeMethods.adjaentEdges        false          30  thrpt   25   3044.580 ±  64.980  ops/ms
EdgeMethods.adjaentEdges        false          40  thrpt   25   2406.803 ±  33.701  ops/ms
EdgeMethods.adjaentEdges        false          50  thrpt   25   2149.709 ±  44.979  ops/ms
EdgeMethods.adjaentEdges        false          60  thrpt   25   1865.172 ±  19.944  ops/ms
EdgeMethods.adjaentEdges        false          70  thrpt   25   1658.350 ±  40.578  ops/ms
EdgeMethods.adjaentEdges        false          80  thrpt   25   1495.177 ±  44.556  ops/ms
EdgeMethods.adjaentEdges        false          90  thrpt   25   1321.321 ±  50.133  ops/ms
EdgeMethods.adjaentEdges        false         100  thrpt   25   1180.893 ±  30.766  ops/ms
EdgeMethods.findFirstEdge        true           2  thrpt   25  13859.986 ± 263.006  ops/ms
EdgeMethods.findFirstEdge        true          10  thrpt   25  12538.005 ± 228.460  ops/ms
EdgeMethods.findFirstEdge        true          20  thrpt   25  13432.779 ± 228.425  ops/ms
EdgeMethods.findFirstEdge        true          30  thrpt   25  13739.482 ± 706.028  ops/ms
EdgeMethods.findFirstEdge        true          40  thrpt   25  13619.039 ± 229.248  ops/ms
EdgeMethods.findFirstEdge        true          50  thrpt   25  13331.636 ± 335.646  ops/ms
EdgeMethods.findFirstEdge        true          60  thrpt   25  13373.310 ± 228.412  ops/ms
EdgeMethods.findFirstEdge        true          70  thrpt   25  13517.265 ± 266.672  ops/ms
EdgeMethods.findFirstEdge        true          80  thrpt   25  13408.034 ± 194.987  ops/ms
EdgeMethods.findFirstEdge        true          90  thrpt   25  13110.489 ± 504.189  ops/ms
